id,name,price,image_src,category_id,link,code
99362,Kärcher HDS 12/18-4 S Kuumavesipesuri,"6062,46 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124261/08998876c75bb1bfccf77109aa02c30d__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hds-1218-4-s-kuumavesipesuri,1.071-914.0
99363,Kärcher HDS 12/18-4 SX Kuumavesipesuri,"6193,02 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124252/dd7be05efd3f1dfadd1a3f5e4110ed92__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hds-1218-4-sx-kuumavesipesuri,1.071-925.0
99364,Kärcher HDS 12/18-4 SXA Kuumavesipesuri,"7995,56 €",https://www.loukko.com/assets/ProductCatalog/280/SilverShop_Page_Product-279142/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hds-1218-4sxa-kuumavesipesuri,1.071-960.0
99365,Kärcher HDS 12/18-4S Kuumavesipesuri,"7185,89 €",https://www.loukko.com/assets/ProductCatalog/280/SilverShop_Page_Product-279140/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hds-1218-4s-kuumavesipesuri,1.071-959.0
99366,Kärcher HDS 13/20-4 S Kuumavesipesuri,"7691,94 €",https://www.loukko.com/assets/ProductCatalog/280/SilverShop_Page_Product-279143/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hds-1320-4-s-kuumavesipesuri,1.071-937.0
99367,Kärcher HDS 5/11 U Kuumavesipesuri,"1749,00 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124255/67ae29def011283834271f6577f9a388__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hds-511-u-kuumavesipesuri,1.064-900.0
99368,Kärcher HDS 5/11 UX Kuumavesipesuri,"2397,05 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124256/1cfe0a2fd0e9935cb50295d9e82f7f56__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hds-511-ux-kuumavesipesuri,1.064-901.0
99369,"Kärcher HDS 5/13 U kuumavesipesuri, Anniversary Edition","1699,00 €",https://www.loukko.com/assets/ProductCatalog/294/SilverShop_Page_Product-293919/karcher__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,18835,https://www.loukko.com/autotalli/karcher-hds-513-u-kuumavesipesuri-anniversary-edition,1.064-918.0
99370,Kärcher HDS 5/15 U kuumavesipesuri,"2732,66 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124255/67ae29def011283834271f6577f9a388__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hds-515-u-kuumavesipesuri,1.064-912.0
99371,Kärcher HDS 7/16 C Kuumavesipesuri,"3947,18 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124258/e904ba4500ba25354d789ed69fc19b12__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hds-716-c-kuumavesipesuri,1.173-900.0
